                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.91471,                0.44976,                0.96166,                0.87537,                0.83049,                0.88316,                0.55679,                 1.3095,                0.70853,                 1.1353,              0.0063407,              0.0063407,              0.0063407
                     46,                0.92551,                0.45081,                0.96689,                0.89282,                0.82883,                0.86966,                0.54692,                 1.2997,                0.69013,                 1.1329,              0.0062575,              0.0062575,              0.0062575
                     47,                0.92012,                0.44831,                0.96626,                0.88764,                0.83568,                0.87751,                0.55154,                 1.3134,                 0.7081,                 1.1299,              0.0061743,              0.0061743,              0.0061743
                     48,                0.91985,                0.44634,                0.96467,                0.88634,                 0.8641,                0.89481,                0.56259,                 1.2868,                0.67978,                  1.113,              0.0060912,              0.0060912,              0.0060912
                     49,                0.91233,                0.44315,                0.95969,                0.88697,                0.85337,                 0.8905,                0.56195,                 1.3137,                0.68233,                 1.1225,               0.006008,               0.006008,               0.006008
                     50,                0.90103,                 0.4356,                0.95568,                0.87082,                0.87571,                0.89607,                0.57324,                 1.2735,                0.66261,                 1.1116,              0.0059248,              0.0059248,              0.0059248
                     51,                0.90428,                0.43563,                0.95885,                0.88331,                0.85557,                 0.8791,                0.54789,                 1.3185,                 0.6952,                 1.1393,              0.0058417,              0.0058417,              0.0058417
                     52,                0.90024,                0.43281,                0.95711,                0.89673,                 0.8324,                0.87022,                0.55383,                 1.3198,                0.68796,                 1.1297,              0.0057585,              0.0057585,              0.0057585
                     53,                0.89485,                0.43163,                0.95327,                0.90443,                0.84494,                0.86975,                0.55255,                 1.3116,                0.65695,                  1.131,              0.0056753,              0.0056753,              0.0056753
                     54,                0.89523,                0.43416,                0.95682,                0.90234,                0.85562,                0.88241,                0.57502,                 1.2714,                 0.6594,                 1.1155,              0.0055922,              0.0055922,              0.0055922
                     55,                0.89002,                0.42795,                0.95297,                  0.878,                0.86586,                0.88213,                0.57534,                 1.2648,                0.64943,                 1.1053,               0.005509,               0.005509,               0.005509
                     56,                0.88221,                0.42052,                0.95223,                0.87199,                0.85556,                 0.8824,                0.57152,                 1.2817,                0.66363,                  1.114,              0.0054258,              0.0054258,              0.0054258
                     57,                 0.8786,                0.41999,                0.94693,                0.90849,                 0.8538,                0.88992,                0.57253,                 1.2679,                0.65722,                 1.1093,              0.0053427,              0.0053427,              0.0053427
                     58,                0.87678,                0.42347,                 0.9437,                0.86248,                0.83294,                0.87635,                0.55305,                 1.2718,                0.68032,                 1.1073,              0.0052595,              0.0052595,              0.0052595
                     59,                0.87196,                0.42121,                 0.9449,                0.85275,                0.86254,                0.87683,                0.55708,                 1.2638,                0.65567,                 1.1052,              0.0051763,              0.0051763,              0.0051763
                     60,                0.87634,                0.42025,                0.94992,                0.89783,                0.83522,                0.87675,                0.55983,                  1.273,                0.66204,                 1.1111,              0.0050932,              0.0050932,              0.0050932
                     61,                0.86182,                0.41315,                0.94865,                0.88068,                0.87188,                0.87785,                0.56212,                  1.276,                0.64682,                 1.1265,                0.00501,                0.00501,                0.00501
                     62,                0.86388,                0.41162,                0.94681,                0.87202,                0.86429,                 0.8807,                0.55162,                  1.304,                0.66712,                 1.1293,              0.0049268,              0.0049268,              0.0049268
                     63,                0.85565,                0.41043,                0.94526,                 0.8587,                 0.8439,                0.85033,                0.54601,                 1.2704,                0.70395,                 1.1108,              0.0048437,              0.0048437,              0.0048437
                     64,                0.85813,                0.40699,                0.94508,                0.88574,                0.86057,                0.88491,                0.57353,                 1.2683,                 0.6426,                 1.1175,              0.0047605,              0.0047605,              0.0047605
                     65,                0.84835,                0.40376,                0.94314,                 0.8878,                0.84117,                0.88026,                0.56997,                 1.2514,                0.63203,                 1.1099,              0.0046773,              0.0046773,              0.0046773
                     66,                0.84668,                0.39766,                0.94002,                0.89668,                0.84519,                0.88531,                0.57696,                  1.267,                0.63992,                 1.1121,              0.0045942,              0.0045942,              0.0045942
                     67,                0.83499,                0.39941,                0.93521,                0.88534,                0.85032,                0.88542,                0.56763,                 1.2965,                 0.6639,                 1.1355,               0.004511,               0.004511,               0.004511
                     68,                0.84886,                0.40049,                0.93896,                0.92732,                0.84273,                0.89152,                0.57678,                 1.2854,                 0.6451,                 1.1212,              0.0044278,              0.0044278,              0.0044278
