                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.85839,                0.44027,                 0.9243,                0.84216,                0.73111,                0.78759,                0.46187,                 1.4182,                0.90623,                 1.2961,              0.0059248,              0.0059248,              0.0059248
                     51,                 0.8649,                0.44716,                0.92547,                0.88883,                0.75671,                0.82419,                0.47821,                 1.3894,                0.81857,                 1.2993,              0.0058417,              0.0058417,              0.0058417
                     52,                0.85356,                0.43991,                 0.9264,                0.88257,                 0.7617,                0.83084,                0.48769,                  1.406,                0.80057,                 1.3016,              0.0057585,              0.0057585,              0.0057585
                     53,                0.84658,                0.43911,                 0.9193,                0.85588,                0.77184,                0.84553,                0.50566,                 1.3758,                0.76579,                 1.2679,              0.0056753,              0.0056753,              0.0056753
                     54,                0.84482,                0.43179,                0.92329,                0.85426,                0.78961,                0.84811,                0.50009,                  1.406,                0.77409,                 1.3196,              0.0055922,              0.0055922,              0.0055922
                     55,                0.84645,                0.43326,                0.92325,                0.88246,                0.76671,                0.84106,                0.48503,                 1.3946,                0.77094,                 1.2955,               0.005509,               0.005509,               0.005509
                     56,                0.83493,                0.42794,                0.91977,                0.87534,                0.74343,                0.83663,                0.48619,                 1.3926,                0.77916,                 1.3186,              0.0054258,              0.0054258,              0.0054258
                     57,                0.83276,                0.42449,                0.91953,                0.88741,                0.79822,                0.86822,                0.51992,                 1.3604,                0.75648,                 1.2806,              0.0053427,              0.0053427,              0.0053427
                     58,                0.82357,                 0.4164,                0.91073,                0.87708,                0.77121,                0.84716,                0.50384,                 1.3449,                0.76018,                 1.2606,              0.0052595,              0.0052595,              0.0052595
                     59,                0.82182,                0.41614,                0.91245,                0.87673,                0.78457,                0.85824,                0.50088,                 1.3332,                0.75968,                 1.2599,              0.0051763,              0.0051763,              0.0051763
                     60,                0.82486,                0.41819,                0.91701,                0.87623,                0.77979,                0.84406,                0.49564,                 1.3375,                0.78426,                 1.2983,              0.0050932,              0.0050932,              0.0050932
                     61,                0.82784,                0.41761,                0.91493,                0.88986,                0.78622,                  0.859,                0.51744,                 1.3213,                0.74087,                 1.2524,                0.00501,                0.00501,                0.00501
                     62,                0.82354,                 0.4165,                0.91382,                0.87177,                0.79759,                0.84844,                0.50808,                 1.3533,                0.78138,                 1.2929,              0.0049268,              0.0049268,              0.0049268
                     63,                0.81676,                0.41626,                0.91339,                0.87867,                0.76208,                 0.8422,                0.49531,                 1.4185,                0.78559,                 1.3067,              0.0048437,              0.0048437,              0.0048437
